ActionPriority,RiskLevel,RFG_Level,Persona,Channel,Action,ContactFrequency,OfferIntensity,PrimaryKPI,SecondaryKPI,Users,CurrentChurnUsers,CurrentChurnRate,AvgRiskScore,AvgRFGScore,AvgOrder,AvgDiscount,ComplaintRate,UserRate
P2-自动化召回,高风险,低RFG综合表现,基础培育用户,APP首页、站内信,新手任务、二单激励、核心品类推荐,48小时内优先触达,视用户价值配置挽留权益,7日留存率,二单转化率,199,60,30.15075376884422,4.5376884422110555,6.251256281407035,1.3165829145728642,150.51256281407035,100.0,3.534635879218472
P2-自动化召回,高风险,低RFG综合表现,长期忠诚用户,会员中心、站内信,会员权益、新品优先购、积分激励,48小时内优先触达,视用户价值配置挽留权益,30日复购率,会员留存率,10,3,30.0,4.0,6.4,1.5,261.9,100.0,0.17761989342806395
P2-自动化召回,高风险,中RFG综合表现,长期忠诚用户,会员中心、站内信,会员权益、新品优先购、积分激励,48小时内优先触达,视用户价值配置挽留权益,30日复购率,会员留存率,18,5,27.77777777777778,4.0,9.11111111111111,5.777777777777778,255.27777777777777,100.0,0.3197158081705151
P2-自动化召回,中风险,高RFG综合表现,基础培育用户,APP首页、站内信,新手任务、二单激励、核心品类推荐,7天内触达1次,低成本定向权益,7日留存率,二单转化率,90,24,26.666666666666668,3.0,12.38888888888889,3.033333333333333,153.27777777777777,4.444444444444445,1.5985790408525755
P2-自动化召回,中风险,高RFG综合表现,优惠敏感用户,优惠券中心、APP推送,门槛券、阶梯满减券，控制无门槛补贴,7天内触达1次,低成本定向权益,优惠券增量核销率,单笔增量订单补贴成本,20,4,20.0,3.0,12.45,6.95,184.1,30.0,0.3552397868561279
P2-自动化召回,中风险,高RFG综合表现,长期忠诚用户,会员中心、站内信,会员权益、新品优先购、积分激励,7天内触达1次,低成本定向权益,30日复购率,会员留存率,28,1,3.571428571428571,3.0,12.428571428571429,4.214285714285714,230.71428571428572,96.42857142857143,0.49733570159857904
P3-持续培育,中风险,低RFG综合表现,主播互动风险用户,直播预约提醒、主播粉丝群,主播回访直播、粉丝专享权益、同主播商品推荐,7天内触达1次,低成本定向权益,直播回访率,主播推荐复购率,92,24,26.08695652173913,3.0,6.608695652173913,2.1739130434782608,169.93478260869566,17.391304347826086,1.6341030195381885
P3-持续培育,中风险,中RFG综合表现,优惠敏感用户,优惠券中心、APP推送,门槛券、阶梯满减券，控制无门槛补贴,7天内触达1次,低成本定向权益,优惠券增量核销率,单笔增量订单补贴成本,75,19,25.333333333333336,3.0,9.426666666666666,8.466666666666667,204.81333333333333,41.333333333333336,1.3321492007104796
P3-持续培育,中风险,中RFG综合表现,主播互动风险用户,直播预约提醒、主播粉丝群,主播回访直播、粉丝专享权益、同主播商品推荐,7天内触达1次,低成本定向权益,直播回访率,主播推荐复购率,374,85,22.727272727272727,3.0,9.51336898395722,2.462566844919786,167.2941176470588,21.12299465240642,6.642984014209591
P3-持续培育,中风险,中RFG综合表现,基础培育用户,APP首页、站内信,新手任务、二单激励、核心品类推荐,7天内触达1次,低成本定向权益,7日留存率,二单转化率,516,112,21.705426356589147,3.0,9.494186046511627,2.189922480620155,152.3953488372093,8.720930232558139,9.1651865008881
P3-持续培育,中风险,低RFG综合表现,优惠敏感用户,优惠券中心、APP推送,门槛券、阶梯满减券，控制无门槛补贴,7天内触达1次,低成本定向权益,优惠券增量核销率,单笔增量订单补贴成本,16,3,18.75,3.0,6.1875,5.125,207.875,62.5,0.2841918294849023
P3-持续培育,中风险,低RFG综合表现,基础培育用户,APP首页、站内信,新手任务、二单激励、核心品类推荐,7天内触达1次,低成本定向权益,7日留存率,二单转化率,282,40,14.184397163120568,3.0,6.219858156028369,1.2624113475177305,149.29432624113474,10.638297872340425,5.0088809946714035
P3-持续培育,中风险,中RFG综合表现,长期忠诚用户,会员中心、站内信,会员权益、新品优先购、积分激励,7天内触达1次,低成本定向权益,30日复购率,会员留存率,167,16,9.580838323353294,3.0,9.263473053892216,3.568862275449102,250.80838323353294,97.60479041916167,2.9662522202486676
P3-持续培育,中风险,低RFG综合表现,长期忠诚用户,会员中心、站内信,会员权益、新品优先购、积分激励,7天内触达1次,低成本定向权益,30日复购率,会员留存率,70,1,1.4285714285714286,3.0,6.242857142857143,1.9,238.85714285714286,98.57142857142858,1.2433392539964476
P4-常规维护,低风险,低RFG综合表现,优惠敏感用户,优惠券中心、APP推送,门槛券、阶梯满减券，控制无门槛补贴,常规触达,无额外补贴,优惠券增量核销率,单笔增量订单补贴成本,25,4,16.0,1.64,6.32,5.52,195.44,0.0,0.4440497335701598
P4-常规维护,低风险,高RFG综合表现,主播互动风险用户,直播预约提醒、主播粉丝群,主播回访直播、粉丝专享权益、同主播商品推荐,常规触达,无额外补贴,直播回访率,主播推荐复购率,117,9,7.6923076923076925,1.6324786324786325,12.615384615384615,2.6495726495726495,172.11111111111111,0.0,2.078152753108348
P4-常规维护,低风险,高RFG综合表现,基础培育用户,APP首页、站内信,新手任务、二单激励、核心品类推荐,常规触达,无额外补贴,7日留存率,二单转化率,59,4,6.779661016949152,1.8644067796610169,12.288135593220339,3.305084745762712,157.94915254237287,0.0,1.0479573712255772
P4-常规维护,低风险,中RFG综合表现,优惠敏感用户,优惠券中心、APP推送,门槛券、阶梯满减券，控制无门槛补贴,常规触达,无额外补贴,优惠券增量核销率,单笔增量订单补贴成本,210,14,6.666666666666667,1.4523809523809523,9.414285714285715,8.423809523809524,202.14761904761906,0.0,3.7300177619893424
P4-常规维护,低风险,中RFG综合表现,基础培育用户,APP首页、站内信,新手任务、二单激励、核心品类推荐,常规触达,无额外补贴,7日留存率,二单转化率,585,34,5.811965811965812,1.8068376068376069,9.223931623931623,2.4854700854700855,149.77948717948718,0.0,10.390763765541742
P4-常规维护,低风险,低RFG综合表现,基础培育用户,APP首页、站内信,新手任务、二单激励、核心品类推荐,常规触达,无额外补贴,7日留存率,二单转化率,317,16,5.047318611987381,1.7665615141955835,6.047318611987381,1.4921135646687698,151.30599369085172,0.0,5.630550621669627
P4-常规维护,低风险,低RFG综合表现,主播互动风险用户,直播预约提醒、主播粉丝群,主播回访直播、粉丝专享权益、同主播商品推荐,常规触达,无额外补贴,直播回访率,主播推荐复购率,119,6,5.042016806722689,1.6890756302521008,6.512605042016807,2.1512605042016806,165.65546218487395,0.0,2.113676731793961
P4-常规维护,低风险,中RFG综合表现,主播互动风险用户,直播预约提醒、主播粉丝群,主播回访直播、粉丝专享权益、同主播商品推荐,常规触达,无额外补贴,直播回访率,主播推荐复购率,530,23,4.339622641509433,1.6905660377358491,9.518867924528301,2.5754716981132075,170.54905660377358,0.0,9.41385435168739
P4-常规维护,低风险,高RFG综合表现,优惠敏感用户,优惠券中心、APP推送,门槛券、阶梯满减券，控制无门槛补贴,常规触达,无额外补贴,优惠券增量核销率,单笔增量订单补贴成本,41,1,2.4390243902439024,1.6585365853658536,12.560975609756097,9.560975609756097,206.85365853658536,0.0,0.7282415630550622
P4-常规维护,低风险,中RFG综合表现,长期忠诚用户,会员中心、站内信,会员权益、新品优先购、积分激励,常规触达,无额外补贴,30日复购率,会员留存率,439,8,1.8223234624145785,1.0569476082004556,9.480637813211844,4.302961275626424,255.2004555808656,0.0,7.797513321492007
P4-常规维护,低风险,低RFG综合表现,长期忠诚用户,会员中心、站内信,会员权益、新品优先购、积分激励,常规触达,无额外补贴,30日复购率,会员留存率,178,1,0.5617977528089888,1.1067415730337078,6.117977528089888,1.9157303370786516,234.80898876404495,0.0,3.161634103019538
P4-常规维护,低风险,高RFG综合表现,长期忠诚用户,会员中心、站内信,会员权益、新品优先购、积分激励,常规触达,无额外补贴,30日复购率,会员留存率,65,0,0.0,1.0,12.415384615384616,3.8615384615384616,233.8153846153846,0.0,1.1545293072824157
