CustomerID,Churn,Gender,AgeGroup,CityTier,MaritalStatus,PreferredLoginDevice,PreferedOrderCat,Tenure,WarehouseToHome,HourSpendOnApp,OrderCount,OrderAmountHikeFromlastYear,DaySinceLastOrder,NumberOfStreamerFollowed,SatisfactionScore,Complain,CouponUsed,DiscountAmount,CouponFlag,TenureGroup,AppUsageLevel,StreamerGroup,LastOrderGroup,R_score,F_score,G_score,RFG_Score,RFG_Level,Cluster,Persona,RiskScore,RiskLevel,ActionPriority,ContactFrequency,Action,Channel,PrimaryKPI,SecondaryKPI,OfferIntensity
50011,1,Female,3,1,Divorced,Mobile Phone,Others,4.0,18.0,2.0,15,15.0,8.0,2,3,0,9,295,Used,0-6M,Medium,0-3,8-14D,2,5,3,10,中RFG综合表现,3,优惠敏感用户,3,中风险,P3-持续培育,7天内触达1次,门槛券、阶梯满减券，控制无门槛补贴,优惠券中心、APP推送,优惠券增量核销率,单笔增量订单补贴成本,低成本定向权益
50012,1,Male,4,1,Single,Mobile Phone,Fashion,11.0,6.0,3.0,1,13.0,0.0,10,3,1,0,154,Not Used,6-12M,High,7+,0-3D,5,1,1,7,低RFG综合表现,2,主播互动风险用户,4,高风险,P2-自动化召回,48小时内优先触达,主播回访直播、粉丝专享权益、同主播商品推荐,直播预约提醒、主播粉丝群,直播回访率,主播推荐复购率,视用户价值配置挽留权益
50013,1,Male,3,1,Single,Mobile Phone,Household,3.0,11.0,2.0,2,13.0,2.0,2,3,1,2,134,Used,0-6M,Medium,0-3,0-3D,5,2,1,8,中RFG综合表现,0,基础培育用户,5,高风险,P2-自动化召回,48小时内优先触达,新手任务、二单激励、核心品类推荐,APP首页、站内信,7日留存率,二单转化率,视用户价值配置挽留权益
50014,1,Male,4,1,Divorced,Mobile Phone,Household,3.0,15.0,3.0,1,17.0,0.0,1,3,1,0,134,Not Used,0-6M,High,0-3,0-3D,5,1,4,10,中RFG综合表现,0,基础培育用户,5,高风险,P2-自动化召回,48小时内优先触达,新手任务、二单激励、核心品类推荐,APP首页、站内信,7日留存率,二单转化率,视用户价值配置挽留权益
50015,1,Male,4,3,Single,Mobile Phone,Fashion,9.0,15.0,3.0,4,16.0,7.0,2,2,0,0,196,Not Used,6-12M,High,0-3,4-7D,2,4,4,10,中RFG综合表现,0,基础培育用户,2,低风险,P4-常规维护,常规触达,新手任务、二单激励、核心品类推荐,APP首页、站内信,7日留存率,二单转化率,无额外补贴
50016,1,Male,3,2,Married,Mobile Phone,Household,9.0,12.0,3.0,1,22.0,2.0,5,5,1,1,121,Used,6-12M,High,4-6,0-3D,5,1,5,11,中RFG综合表现,2,主播互动风险用户,4,高风险,P2-自动化召回,48小时内优先触达,主播回访直播、粉丝专享权益、同主播商品推荐,直播预约提醒、主播粉丝群,直播回访率,主播推荐复购率,视用户价值配置挽留权益
50017,1,Female,4,1,Single,Pad,Household,3.0,12.0,3.0,1,18.0,0.0,2,2,1,1,129,Used,0-6M,High,0-3,0-3D,5,1,4,10,中RFG综合表现,0,基础培育用户,5,高风险,P2-自动化召回,48小时内优先触达,新手任务、二单激励、核心品类推荐,APP首页、站内信,7日留存率,二单转化率,视用户价值配置挽留权益
50018,1,Male,4,3,Single,Mobile Phone,Laptop & Accessory,3.0,11.0,2.0,1,11.0,3.0,2,3,1,1,157,Used,0-6M,Medium,0-3,0-3D,4,1,1,6,低RFG综合表现,0,基础培育用户,5,高风险,P2-自动化召回,48小时内优先触达,新手任务、二单激励、核心品类推荐,APP首页、站内信,7日留存率,二单转化率,视用户价值配置挽留权益
50019,1,Male,5,1,Single,Pad,Laptop & Accessory,3.0,13.0,3.0,1,24.0,6.0,2,3,1,1,161,Used,0-6M,High,0-3,4-7D,2,1,5,8,中RFG综合表现,0,基础培育用户,5,高风险,P2-自动化召回,48小时内优先触达,新手任务、二单激励、核心品类推荐,APP首页、站内信,7日留存率,二单转化率,视用户价值配置挽留权益
50020,1,Female,3,1,Divorced,Mobile Phone,Mobile Phone,19.0,20.0,3.0,4,18.0,3.0,10,4,1,1,150,Used,1-2Y,High,7+,0-3D,4,4,4,12,高RFG综合表现,2,主播互动风险用户,3,中风险,P2-自动化召回,7天内触达1次,主播回访直播、粉丝专享权益、同主播商品推荐,直播预约提醒、主播粉丝群,直播回访率,主播推荐复购率,低成本定向权益
50021,1,Male,5,3,Divorced,Mobile Phone,Laptop & Accessory,3.0,12.0,3.0,7,18.0,7.0,5,3,1,6,162,Used,0-6M,High,4-6,4-7D,2,5,4,11,中RFG综合表现,3,优惠敏感用户,5,高风险,P2-自动化召回,48小时内优先触达,门槛券、阶梯满减券，控制无门槛补贴,优惠券中心、APP推送,优惠券增量核销率,单笔增量订单补贴成本,视用户价值配置挽留权益
50022,1,Female,3,1,Divorced,Mobile Phone,Fashion,23.0,29.0,3.0,15,12.0,6.0,2,2,0,11,203,Used,1-2Y,High,0-3,4-7D,2,5,1,8,中RFG综合表现,3,优惠敏感用户,1,低风险,P4-常规维护,常规触达,门槛券、阶梯满减券，控制无门槛补贴,优惠券中心、APP推送,优惠券增量核销率,单笔增量订单补贴成本,无额外补贴
50023,1,Male,3,3,Single,Mobile Phone,Mobile Phone,9.0,28.0,2.0,1,19.0,0.0,2,3,1,0,117,Not Used,6-12M,Medium,0-3,0-3D,5,1,4,10,中RFG综合表现,0,基础培育用户,4,高风险,P2-自动化召回,48小时内优先触达,新手任务、二单激励、核心品类推荐,APP首页、站内信,7日留存率,二单转化率,视用户价值配置挽留权益
50024,1,Female,5,3,Divorced,Mobile Phone,Laptop & Accessory,3.0,26.0,3.0,2,11.0,2.0,4,3,1,1,146,Used,0-6M,High,4-6,0-3D,5,2,1,8,中RFG综合表现,0,基础培育用户,5,高风险,P2-自动化召回,48小时内优先触达,新手任务、二单激励、核心品类推荐,APP首页、站内信,7日留存率,二单转化率,视用户价值配置挽留权益
50025,1,Male,5,1,Single,Pad,Fashion,14.0,14.0,2.0,1,15.0,3.0,3,2,0,0,207,Not Used,1-2Y,Medium,0-3,0-3D,4,1,3,8,中RFG综合表现,0,基础培育用户,1,低风险,P4-常规维护,常规触达,新手任务、二单激励、核心品类推荐,APP首页、站内信,7日留存率,二单转化率,无额外补贴
50026,1,Female,3,1,Single,Mobile Phone,Mobile Phone,3.0,15.0,2.0,1,22.0,4.0,8,5,0,1,142,Used,0-6M,Medium,7+,4-7D,3,1,5,9,中RFG综合表现,0,基础培育用户,3,中风险,P3-持续培育,7天内触达1次,新手任务、二单激励、核心品类推荐,APP首页、站内信,7日留存率,二单转化率,低成本定向权益
50027,0,Male,3,3,Divorced,Mobile Phone,Fashion,8.0,6.0,3.0,1,13.0,6.0,2,4,0,1,173,Used,6-12M,High,0-3,4-7D,2,1,1,4,低RFG综合表现,0,基础培育用户,2,低风险,P4-常规维护,常规触达,新手任务、二单激励、核心品类推荐,APP首页、站内信,7日留存率,二单转化率,无额外补贴
50028,0,Male,3,3,Divorced,Mobile Phone,Laptop & Accessory,9.0,12.0,2.0,4,20.0,5.0,3,3,1,0,123,Not Used,6-12M,Medium,0-3,4-7D,2,4,5,11,中RFG综合表现,0,基础培育用户,4,高风险,P2-自动化召回,48小时内优先触达,新手任务、二单激励、核心品类推荐,APP首页、站内信,7日留存率,二单转化率,视用户价值配置挽留权益
50029,0,Male,3,1,Married,Mobile Phone,Laptop & Accessory,18.0,14.0,2.0,1,18.0,15.0,9,4,0,1,123,Used,1-2Y,Medium,7+,15D+,1,1,4,6,低RFG综合表现,2,主播互动风险用户,1,低风险,P4-常规维护,常规触达,主播回访直播、粉丝专享权益、同主播商品推荐,直播预约提醒、主播粉丝群,直播回访率,主播推荐复购率,无额外补贴
50030,0,Female,3,3,Single,Pad,Fashion,5.0,14.0,2.0,3,14.0,7.0,2,2,0,2,190,Used,0-6M,Medium,0-3,4-7D,2,4,2,8,中RFG综合表现,0,基础培育用户,3,中风险,P3-持续培育,7天内触达1次,新手任务、二单激励、核心品类推荐,APP首页、站内信,7日留存率,二单转化率,低成本定向权益
50031,0,Male,3,1,Divorced,Pad,Laptop & Accessory,2.0,6.0,2.0,1,13.0,9.0,2,3,0,0,143,Not Used,0-6M,Medium,0-3,8-14D,1,1,1,3,低RFG综合表现,0,基础培育用户,3,中风险,P3-持续培育,7天内触达1次,新手任务、二单激励、核心品类推荐,APP首页、站内信,7日留存率,二单转化率,低成本定向权益
50032,0,Male,4,1,Divorced,Mobile Phone,Laptop & Accessory,3.0,13.0,2.0,1,17.0,0.0,3,3,0,1,161,Used,0-6M,Medium,0-3,0-3D,5,1,4,10,中RFG综合表现,0,基础培育用户,3,中风险,P3-持续培育,7天内触达1次,新手任务、二单激励、核心品类推荐,APP首页、站内信,7日留存率,二单转化率,低成本定向权益
50033,0,Female,4,1,Divorced,Mobile Phone,Household,33.0,15.0,3.0,1,20.0,0.0,5,4,1,1,133,Used,2Y+,High,4-6,0-3D,5,1,5,11,中RFG综合表现,1,长期忠诚用户,3,中风险,P3-持续培育,7天内触达1次,会员权益、新品优先购、积分激励,会员中心、站内信,30日复购率,会员留存率,低成本定向权益
50034,0,Male,4,3,Divorced,Mobile Phone,Fashion,13.0,10.0,3.0,2,11.0,11.0,8,2,0,2,209,Used,1-2Y,High,7+,8-14D,1,2,1,4,低RFG综合表现,2,主播互动风险用户,2,低风险,P4-常规维护,常规触达,主播回访直播、粉丝专享权益、同主播商品推荐,直播预约提醒、主播粉丝群,直播回访率,主播推荐复购率,无额外补贴
50035,0,Female,3,3,Divorced,Pad,Household,9.0,8.0,3.0,1,18.0,2.0,7,3,0,1,122,Used,6-12M,High,7+,0-3D,5,1,4,10,中RFG综合表现,2,主播互动风险用户,2,低风险,P4-常规维护,常规触达,主播回访直播、粉丝专享权益、同主播商品推荐,直播预约提醒、主播粉丝群,直播回访率,主播推荐复购率,无额外补贴
50036,0,Male,3,1,Divorced,Mobile Phone,Household,3.0,14.0,3.0,2,24.0,2.0,2,2,0,0,123,Not Used,0-6M,High,0-3,0-3D,5,2,5,12,高RFG综合表现,0,基础培育用户,3,中风险,P2-自动化召回,7天内触达1次,新手任务、二单激励、核心品类推荐,APP首页、站内信,7日留存率,二单转化率,低成本定向权益
50037,0,Male,3,1,Married,Pad,Household,9.0,15.0,2.0,2,18.0,2.0,7,4,0,0,120,Not Used,6-12M,Medium,7+,0-3D,5,2,4,11,中RFG综合表现,0,基础培育用户,2,低风险,P4-常规维护,常规触达,新手任务、二单激励、核心品类推荐,APP首页、站内信,7日留存率,二单转化率,无额外补贴
50038,0,Male,3,1,Divorced,Mobile Phone,Household,1.0,27.0,3.0,1,11.0,2.0,2,2,0,0,127,Not Used,0-6M,High,0-3,0-3D,5,1,1,7,低RFG综合表现,0,基础培育用户,3,中风险,P3-持续培育,7天内触达1次,新手任务、二单激励、核心品类推荐,APP首页、站内信,7日留存率,二单转化率,低成本定向权益
50039,0,Male,2,1,Married,Mobile Phone,Fashion,33.0,30.0,2.0,1,16.0,4.0,4,2,1,1,194,Used,2Y+,Medium,4-6,4-7D,3,1,4,8,中RFG综合表现,1,长期忠诚用户,3,中风险,P3-持续培育,7天内触达1次,会员权益、新品优先购、积分激励,会员中心、站内信,30日复购率,会员留存率,低成本定向权益
50040,0,Male,4,1,Married,Pad,Household,3.0,14.0,3.0,1,15.0,1.0,2,3,1,0,126,Not Used,0-6M,High,0-3,0-3D,5,1,3,9,中RFG综合表现,0,基础培育用户,5,高风险,P2-自动化召回,48小时内优先触达,新手任务、二单激励、核心品类推荐,APP首页、站内信,7日留存率,二单转化率,视用户价值配置挽留权益
50041,0,Female,3,1,Single,Mobile Phone,Others,23.0,17.0,2.0,4,15.0,4.0,4,4,0,2,299,Used,1-2Y,Medium,4-6,4-7D,3,4,3,10,中RFG综合表现,1,长期忠诚用户,1,低风险,P4-常规维护,常规触达,会员权益、新品优先购、积分激励,会员中心、站内信,30日复购率,会员留存率,无额外补贴
50042,0,Male,3,1,Married,Mobile Phone,Household,14.0,14.0,2.0,1,12.0,8.0,5,3,0,1,125,Used,1-2Y,Medium,4-6,8-14D,2,1,1,4,低RFG综合表现,0,基础培育用户,1,低风险,P4-常规维护,常规触达,新手任务、二单激励、核心品类推荐,APP首页、站内信,7日留存率,二单转化率,无额外补贴
50043,0,Female,3,3,Divorced,Mobile Phone,Fashion,3.0,11.0,2.0,7,12.0,4.0,3,2,0,2,194,Used,0-6M,Medium,0-3,4-7D,3,5,1,9,中RFG综合表现,0,基础培育用户,3,中风险,P3-持续培育,7天内触达1次,新手任务、二单激励、核心品类推荐,APP首页、站内信,7日留存率,二单转化率,低成本定向权益
50044,0,Female,4,3,Single,Mobile Phone,Laptop & Accessory,11.0,6.0,2.0,1,22.0,1.0,5,2,0,1,187,Used,6-12M,Medium,4-6,0-3D,5,1,5,11,中RFG综合表现,0,基础培育用户,2,低风险,P4-常规维护,常规触达,新手任务、二单激励、核心品类推荐,APP首页、站内信,7日留存率,二单转化率,无额外补贴
50045,0,Male,3,1,Single,Mobile Phone,Household,5.0,12.0,3.0,1,20.0,4.0,4,3,0,0,130,Not Used,0-6M,High,4-6,4-7D,3,1,5,9,中RFG综合表现,0,基础培育用户,3,中风险,P3-持续培育,7天内触达1次,新手任务、二单激励、核心品类推荐,APP首页、站内信,7日留存率,二单转化率,低成本定向权益
50046,0,Male,3,1,Divorced,Mobile Phone,Household,3.0,23.0,3.0,1,16.0,1.0,1,4,1,1,131,Used,0-6M,High,0-3,0-3D,5,1,4,10,中RFG综合表现,0,基础培育用户,5,高风险,P2-自动化召回,48小时内优先触达,新手任务、二单激励、核心品类推荐,APP首页、站内信,7日留存率,二单转化率,视用户价值配置挽留权益
50047,1,Female,5,3,Single,Pad,Household,3.0,14.0,3.0,1,21.0,0.0,1,5,0,1,123,Used,0-6M,High,0-3,0-3D,5,1,5,11,中RFG综合表现,0,基础培育用户,3,中风险,P3-持续培育,7天内触达1次,新手任务、二单激励、核心品类推荐,APP首页、站内信,7日留存率,二单转化率,低成本定向权益
50048,0,Male,3,1,Single,Pad,Household,9.0,9.0,1.0,7,12.0,2.0,5,4,0,4,121,Used,6-12M,Low,4-6,0-3D,5,5,1,11,中RFG综合表现,0,基础培育用户,2,低风险,P4-常规维护,常规触达,新手任务、二单激励、核心品类推荐,APP首页、站内信,7日留存率,二单转化率,无额外补贴
50049,0,Male,3,1,Married,Pad,Laptop & Accessory,3.0,15.0,3.0,6,11.0,10.0,2,5,0,0,131,Not Used,0-6M,High,0-3,8-14D,1,5,1,7,低RFG综合表现,0,基础培育用户,3,中风险,P3-持续培育,7天内触达1次,新手任务、二单激励、核心品类推荐,APP首页、站内信,7日留存率,二单转化率,低成本定向权益
50050,0,Female,3,3,Married,Mobile Phone,Laptop & Accessory,18.0,10.0,1.0,1,11.0,3.0,5,5,1,0,150,Not Used,1-2Y,Low,4-6,0-3D,4,1,1,6,低RFG综合表现,0,基础培育用户,3,中风险,P3-持续培育,7天内触达1次,新手任务、二单激励、核心品类推荐,APP首页、站内信,7日留存率,二单转化率,低成本定向权益
50051,0,Female,3,1,Married,Mobile Phone,Mobile Phone,29.0,14.0,3.0,2,18.0,2.0,5,5,1,1,143,Used,2Y+,High,4-6,0-3D,5,2,4,11,中RFG综合表现,1,长期忠诚用户,3,中风险,P3-持续培育,7天内触达1次,会员权益、新品优先购、积分激励,会员中心、站内信,30日复购率,会员留存率,低成本定向权益
50052,0,Male,3,1,Single,Mobile Phone,Household,6.0,14.0,2.0,1,14.0,2.0,1,2,0,0,125,Not Used,0-6M,Medium,0-3,0-3D,5,1,2,8,中RFG综合表现,0,基础培育用户,2,低风险,P4-常规维护,常规触达,新手任务、二单激励、核心品类推荐,APP首页、站内信,7日留存率,二单转化率,无额外补贴
50053,1,Male,4,1,Single,Mobile Phone,Mobile Phone,3.0,8.0,2.0,1,22.0,0.0,2,2,0,0,111,Not Used,0-6M,Medium,0-3,0-3D,5,1,5,11,中RFG综合表现,0,基础培育用户,3,中风险,P3-持续培育,7天内触达1次,新手任务、二单激励、核心品类推荐,APP首页、站内信,7日留存率,二单转化率,低成本定向权益
50054,0,Female,3,3,Married,Mobile Phone,Fashion,19.0,6.0,3.0,15,25.0,7.0,2,5,0,4,205,Used,1-2Y,High,0-3,4-7D,2,5,5,12,高RFG综合表现,3,优惠敏感用户,1,低风险,P4-常规维护,常规触达,门槛券、阶梯满减券，控制无门槛补贴,优惠券中心、APP推送,优惠券增量核销率,单笔增量订单补贴成本,无额外补贴
50055,0,Female,3,1,Single,Mobile Phone,Household,9.0,15.0,3.0,2,12.0,1.0,2,2,0,1,123,Used,6-12M,High,0-3,0-3D,5,2,1,8,中RFG综合表现,0,基础培育用户,2,低风险,P4-常规维护,常规触达,新手任务、二单激励、核心品类推荐,APP首页、站内信,7日留存率,二单转化率,无额外补贴
50056,0,Female,3,1,Divorced,Mobile Phone,Mobile Phone,4.0,18.0,3.0,1,23.0,2.0,9,2,1,1,139,Used,0-6M,High,7+,0-3D,5,1,5,11,中RFG综合表现,2,主播互动风险用户,5,高风险,P2-自动化召回,48小时内优先触达,主播回访直播、粉丝专享权益、同主播商品推荐,直播预约提醒、主播粉丝群,直播回访率,主播推荐复购率,视用户价值配置挽留权益
50057,0,Female,3,1,Single,Mobile Phone,Household,9.0,33.0,3.0,1,15.0,2.0,3,4,0,1,123,Used,6-12M,High,0-3,0-3D,5,1,3,9,中RFG综合表现,0,基础培育用户,2,低风险,P4-常规维护,常规触达,新手任务、二单激励、核心品类推荐,APP首页、站内信,7日留存率,二单转化率,无额外补贴
50058,1,Female,3,3,Single,Mobile Phone,Household,4.0,26.0,3.0,1,22.0,2.0,2,4,1,0,131,Not Used,0-6M,High,0-3,0-3D,5,1,5,11,中RFG综合表现,0,基础培育用户,5,高风险,P2-自动化召回,48小时内优先触达,新手任务、二单激励、核心品类推荐,APP首页、站内信,7日留存率,二单转化率,视用户价值配置挽留权益
50059,0,Male,4,1,Divorced,Mobile Phone,Mobile Phone,23.0,6.0,2.0,1,15.0,2.0,3,3,0,0,137,Not Used,1-2Y,Medium,0-3,0-3D,5,1,3,9,中RFG综合表现,0,基础培育用户,1,低风险,P4-常规维护,常规触达,新手任务、二单激励、核心品类推荐,APP首页、站内信,7日留存率,二单转化率,无额外补贴
50060,0,Female,2,1,Married,Mobile Phone,Laptop & Accessory,26.0,19.0,2.0,1,11.0,3.0,2,5,0,1,145,Used,2Y+,Medium,0-3,0-3D,4,1,1,6,低RFG综合表现,0,基础培育用户,1,低风险,P4-常规维护,常规触达,新手任务、二单激励、核心品类推荐,APP首页、站内信,7日留存率,二单转化率,无额外补贴
50061,0,Female,3,1,Divorced,Mobile Phone,Household,6.0,20.0,3.0,1,13.0,6.0,2,4,0,0,128,Not Used,0-6M,High,0-3,4-7D,2,1,1,4,低RFG综合表现,0,基础培育用户,2,低风险,P4-常规维护,常规触达,新手任务、二单激励、核心品类推荐,APP首页、站内信,7日留存率,二单转化率,无额外补贴
50062,0,Female,3,1,Divorced,Mobile Phone,Others,13.0,10.0,2.0,9,14.0,9.0,2,3,0,1,290,Used,1-2Y,Medium,0-3,8-14D,1,5,2,8,中RFG综合表现,1,长期忠诚用户,2,低风险,P4-常规维护,常规触达,会员权益、新品优先购、积分激励,会员中心、站内信,30日复购率,会员留存率,无额外补贴
50063,0,Male,2,1,Single,Mobile Phone,Others,28.0,20.0,3.0,2,11.0,15.0,9,4,0,1,287,Used,2Y+,High,7+,15D+,1,2,1,4,低RFG综合表现,1,长期忠诚用户,1,低风险,P4-常规维护,常规触达,会员权益、新品优先购、积分激励,会员中心、站内信,30日复购率,会员留存率,无额外补贴
50064,0,Male,4,1,Divorced,Pad,Laptop & Accessory,7.0,8.0,2.0,1,17.0,9.0,2,3,0,0,195,Not Used,6-12M,Medium,0-3,8-14D,1,1,4,6,低RFG综合表现,0,基础培育用户,2,低风险,P4-常规维护,常规触达,新手任务、二单激励、核心品类推荐,APP首页、站内信,7日留存率,二单转化率,无额外补贴
50065,0,Female,3,1,Single,Mobile Phone,Grocery,24.0,9.0,3.0,2,18.0,0.0,4,4,0,0,237,Not Used,1-2Y,High,4-6,0-3D,5,2,4,11,中RFG综合表现,1,长期忠诚用户,1,低风险,P4-常规维护,常规触达,会员权益、新品优先购、积分激励,会员中心、站内信,30日复购率,会员留存率,无额外补贴
50066,0,Male,4,1,Divorced,Mobile Phone,Others,25.0,6.0,3.0,11,15.0,9.0,1,3,0,1,300,Used,2Y+,High,0-3,8-14D,1,5,3,9,中RFG综合表现,1,长期忠诚用户,1,低风险,P4-常规维护,常规触达,会员权益、新品优先购、积分激励,会员中心、站内信,30日复购率,会员留存率,无额外补贴
50067,0,Female,3,1,Single,Mobile Phone,Household,9.0,15.0,2.0,1,16.0,3.0,2,4,0,1,123,Used,6-12M,Medium,0-3,0-3D,4,1,4,9,中RFG综合表现,0,基础培育用户,2,低风险,P4-常规维护,常规触达,新手任务、二单激励、核心品类推荐,APP首页、站内信,7日留存率,二单转化率,无额外补贴
50068,1,Male,4,1,Divorced,Mobile Phone,Laptop & Accessory,3.0,29.0,2.0,1,13.0,1.0,4,3,1,1,159,Used,0-6M,Medium,4-6,0-3D,5,1,1,7,低RFG综合表现,0,基础培育用户,5,高风险,P2-自动化召回,48小时内优先触达,新手任务、二单激励、核心品类推荐,APP首页、站内信,7日留存率,二单转化率,视用户价值配置挽留权益
50069,0,Male,2,1,Married,Pad,Household,9.0,13.0,2.0,2,14.0,2.0,5,2,0,0,121,Not Used,6-12M,Medium,4-6,0-3D,5,2,2,9,中RFG综合表现,0,基础培育用户,2,低风险,P4-常规维护,常规触达,新手任务、二单激励、核心品类推荐,APP首页、站内信,7日留存率,二单转化率,无额外补贴
50070,0,Male,4,1,Divorced,Pad,Grocery,18.0,8.0,3.0,11,23.0,8.0,10,2,0,1,268,Used,1-2Y,High,7+,8-14D,2,5,5,12,高RFG综合表现,1,长期忠诚用户,1,低风险,P4-常规维护,常规触达,会员权益、新品优先购、积分激励,会员中心、站内信,30日复购率,会员留存率,无额外补贴
50071,0,Male,2,1,Divorced,Mobile Phone,Mobile Phone,13.0,27.0,3.0,1,12.0,7.0,2,5,1,0,136,Not Used,1-2Y,High,0-3,4-7D,2,1,1,4,低RFG综合表现,0,基础培育用户,4,高风险,P2-自动化召回,48小时内优先触达,新手任务、二单激励、核心品类推荐,APP首页、站内信,7日留存率,二单转化率,视用户价值配置挽留权益
50072,0,Female,3,1,Single,Pad,Laptop & Accessory,8.0,8.0,2.0,1,11.0,2.0,6,4,0,1,144,Used,6-12M,Medium,4-6,0-3D,4,1,1,6,低RFG综合表现,0,基础培育用户,2,低风险,P4-常规维护,常规触达,新手任务、二单激励、核心品类推荐,APP首页、站内信,7日留存率,二单转化率,无额外补贴
50073,0,Female,3,1,Married,Pad,Laptop & Accessory,15.0,27.0,2.0,1,16.0,2.0,3,3,0,0,153,Not Used,1-2Y,Medium,0-3,0-3D,4,1,4,9,中RFG综合表现,0,基础培育用户,1,低风险,P4-常规维护,常规触达,新手任务、二单激励、核心品类推荐,APP首页、站内信,7日留存率,二单转化率,无额外补贴
50074,0,Male,3,1,Divorced,Mobile Phone,Laptop & Accessory,11.0,8.0,2.0,1,14.0,0.0,10,3,0,0,166,Not Used,6-12M,Medium,7+,0-3D,5,1,2,8,中RFG综合表现,2,主播互动风险用户,2,低风险,P4-常规维护,常规触达,主播回访直播、粉丝专享权益、同主播商品推荐,直播预约提醒、主播粉丝群,直播回访率,主播推荐复购率,无额外补贴
