CustomerID,Churn,Tenure,PreferredLoginDevice,CityTier,WarehouseToHome,MaritalStatus,AgeGroup,Gender,HourSpendOnApp,OrderCount,OrderAmountHikeFromlastYear,DaySinceLastOrder,PreferedOrderCat,NumberOfStreamerFollowed,SatisfactionScore,Complain,CouponUsed,DiscountAmount
50021,1,3,Mobile Phone,3,12,Divorced,5,Male,3,7,18,7,Laptop & Accessory,5,3,1,6,162
50022,1,23,Mobile Phone,1,29,Divorced,3,Female,3,15,12,6,Fashion,2,2,0,11,203
50023,1,,Mobile Phone,3,28,Single,3,Male,2,1,19,0,Mobile Phone,2,3,1,0,117
50024,1,3,Phone,3,26,Divorced,5,Female,3,2,11,2,Laptop & Accessory,4,3,1,1,146
50025,1,14,Pad,1,14,Single,5,Male,2,1,15,3,Fashion,3,2,0,0,207
50026,1,3,Phone,1,15,Single,3,Female,2,1,22,4,Mobile Phone,8,5,0,1,142
50027,0,8,Mobile Phone,3,6,Divorced,3,Male,3,1,13,6,Fashion,2,4,0,1,173
50028,0,,Phone,3,12,Divorced,3,Male,2,4,20,5,Laptop & Accessory,3,3,1,0,123
50029,0,18,Phone,1,,Married,3,Male,2,1,18,15,Laptop & Accessory,9,4,0,1,123
50030,0,5,Pad,3,14,Single,3,Female,2,3,14,7,Fashion,2,2,0,2,190
50031,0,2,Pad,1,6,Divorced,3,Male,2,1,13,9,Laptop & Accessory,2,3,0,0,143
50032,0,3,Mobile Phone,1,13,Divorced,4,Male,2,1,17,0,Laptop & Accessory,3,3,0,1,161
50033,0,33,Phone,1,15,Divorced,4,Female,3,1,20,0,Household,5,4,1,1,133
50034,0,13,Mobile Phone,3,10,Divorced,4,Male,3,2,11,11,Fashion,8,2,0,2,209
50035,0,,Pad,3,8,Divorced,3,Female,3,1,18,2,Household,7,3,0,1,122
50036,0,3,Phone,1,,Divorced,3,Male,3,2,24,2,Household,2,2,0,0,123
50037,0,,Pad,1,15,Married,3,Male,2,2,18,2,Household,7,4,0,0,120
50038,0,1,Phone,1,27,Divorced,3,Male,,1,11,2,Household,2,2,0,0,127
50039,0,33,Mobile Phone,1,30,Married,2,Male,2,1,16,4,Fashion,4,2,1,1,194
50040,0,3,Pad,1,,Married,4,Male,3,1,15,1,Household,2,3,1,0,126
50041,0,23,Mobile Phone,1,17,Single,3,Female,2,4,,4,Others,4,4,0,2,299
50042,0,14,Phone,1,,Married,3,Male,2,1,12,8,Household,5,3,0,1,125
50043,0,3,Mobile Phone,3,11,Divorced,3,Female,2,7,12,4,Fashion,3,2,0,2,194
50044,0,11,Mobile Phone,3,6,Single,4,Female,2,1,22,1,Laptop & Accessory,5,2,0,1,187
50045,0,5,Phone,1,12,Single,3,Male,,1,20,4,Household,4,3,0,0,130
50046,0,3,Phone,1,23,Divorced,3,Male,,1,16,1,Household,1,4,1,1,131
50047,1,3,Pad,3,,Single,5,Female,3,1,21,0,Household,1,5,0,1,123
50048,0,,Pad,1,9,Single,3,Male,1,7,12,2,Household,5,4,0,4,121
50049,0,3,Pad,1,15,Married,3,Male,,6,11,10,Laptop & Accessory,2,5,0,0,131
50050,0,18,Mobile Phone,3,10,Married,3,Female,1,1,11,3,Laptop & Accessory,5,5,1,0,150
50051,0,29,Phone,1,14,Married,3,Female,3,2,18,2,Mobile Phone,5,5,1,1,143
50052,0,6,Phone,1,,Single,3,Male,2,1,14,2,Household,1,2,0,0,125
50053,1,3,Mobile Phone,1,8,Single,4,Male,2,1,22,0,Mobile Phone,2,2,0,0,111
50054,0,19,Mobile Phone,3,6,Married,3,Female,3,15,25,7,Fashion,2,5,0,4,205
50055,0,,Phone,1,15,Single,3,Female,3,2,12,1,Household,2,2,0,1,123
50056,0,4,Phone,1,18,Divorced,3,Female,3,1,23,2,Mobile Phone,9,2,1,1,139
50057,0,,Phone,1,33,Single,3,Female,3,1,15,2,Household,3,4,0,1,123
50058,1,4,Phone,3,26,Single,3,Female,,1,22,2,Household,2,4,1,0,131
50059,0,23,Phone,1,6,Divorced,4,Male,2,1,15,2,Mobile Phone,3,3,0,0,137
50060,0,26,Phone,1,19,Married,2,Female,2,1,11,3,Laptop & Accessory,2,5,0,1,145
50061,0,6,Phone,1,20,Divorced,3,Female,,1,13,6,Household,2,4,0,0,128
50062,0,13,Mobile Phone,1,10,Divorced,3,Female,2,9,14,9,Others,2,3,0,,290
50063,0,28,Mobile Phone,1,20,Single,2,Male,3,2,11,15,Others,9,4,0,,287
50064,0,7,Pad,1,8,Divorced,4,Male,2,1,17,9,Laptop & Accessory,2,3,0,0,195
50065,0,24,Mobile Phone,1,9,Single,3,Female,3,,18,0,Grocery,4,4,0,0,237
50066,0,25,Mobile Phone,1,6,Divorced,4,Male,3,11,,9,Others,1,3,0,1,300
50067,0,,Phone,1,15,Single,3,Female,2,1,16,3,Household,2,4,0,1,123
50068,1,3,Mobile Phone,1,29,Divorced,4,Male,2,1,13,1,Laptop & Accessory,4,3,1,1,159
50069,0,,Pad,1,13,Married,2,Male,2,2,14,2,Household,5,2,0,0,121
50070,0,18,Pad,1,8,Divorced,4,Male,3,11,23,8,Grocery,10,2,0,,268
50071,0,13,Phone,1,27,Divorced,2,Male,3,1,12,7,Mobile Phone,2,5,1,0,136
50072,0,8,Pad,1,8,Single,3,Female,2,1,11,2,Laptop & Accessory,6,4,0,1,144
50073,0,15,Pad,1,27,Married,3,Female,2,1,16,2,Laptop & Accessory,3,3,0,0,153
50074,0,11,Mobile Phone,1,8,Divorced,3,Male,2,1,14,0,Laptop & Accessory,10,3,0,0,166
50075,0,11,Mobile Phone,1,35,Divorced,3,Male,2,1,18,7,Laptop & Accessory,4,2,0,0,163
50076,0,3,Pad,1,6,Divorced,4,Male,2,2,19,0,Laptop & Accessory,6,5,0,0,143
50077,0,22,Pad,1,24,Married,3,Male,3,1,15,7,Laptop & Accessory,2,2,1,0,168
50078,0,7,Pad,1,16,Married,3,Male,2,2,17,0,Mobile Phone,2,3,1,2,138
50079,0,13,Phone,1,25,Divorced,3,Male,,3,15,7,Laptop & Accessory,9,2,1,1,127
50080,1,1,Mobile Phone,1,35,Divorced,3,Male,3,1,19,0,Laptop & Accessory,8,5,1,0,167
50081,1,3,Mobile Phone,3,33,Divorced,3,Female,2,1,22,9,Fashion,2,2,0,1,176
50082,0,3,Phone,1,,Married,2,Male,2,2,16,2,Household,2,4,1,0,123
50083,0,,Pad,1,24,Single,3,Female,3,1,13,7,Household,2,2,0,1,122
50084,0,13,Pad,1,15,Divorced,4,Male,3,1,14,2,Laptop & Accessory,10,2,0,1,149
50085,0,19,Mobile Phone,1,6,Married,3,Male,3,1,16,3,Fashion,8,5,0,0,194
50086,1,3,Mobile Phone,3,10,Divorced,5,Male,2,9,11,8,Fashion,2,2,0,7,204
50087,0,3,Pad,1,6,Single,4,Male,2,5,22,8,Fashion,2,3,0,2,185
50088,0,3,Pad,3,26,Single,3,Female,2,1,14,7,Laptop & Accessory,2,3,0,1,200
50089,0,24,Mobile Phone,1,14,Divorced,4,Male,2,4,16,,Fashion,6,4,0,1,225
50090,1,3,Phone,1,,Single,3,Female,2,1,11,4,Household,6,5,1,1,127
50091,0,14,Mobile Phone,3,12,Single,3,Female,3,,18,0,Fashion,4,2,1,0,236
50092,1,3,Pad,3,32,Single,4,Female,2,1,15,1,Laptop & Accessory,6,5,0,0,167
50093,1,,Phone,1,6,Single,3,Male,2,1,14,5,Household,1,3,0,0,121
50094,0,18,Pad,3,12,Single,4,Female,2,12,12,8,Fashion,7,2,0,12,189
50095,0,27,Mobile Phone,3,9,Divorced,3,Female,2,1,14,5,Laptop & Accessory,3,5,0,1,159
50096,0,9,Mobile Phone,1,11,Single,3,Male,3,3,16,7,Laptop & Accessory,9,4,0,0,159
50097,0,6,Phone,1,,Divorced,4,Female,2,1,21,1,Household,7,4,0,0,126
50098,0,13,Pad,1,17,Married,3,Male,2,1,14,,Fashion,2,2,1,0,222
50099,0,11,Mobile Phone,3,9,Married,3,Male,3,5,12,13,Fashion,1,3,0,1,206
50100,0,4,Pad,1,6,Divorced,5,Male,2,1,12,4,Laptop & Accessory,1,3,0,1,143
50101,0,,Phone,1,9,Divorced,4,Male,3,1,17,0,Household,4,2,0,0,122
50102,0,13,Pad,3,10,Married,3,Male,2,5,17,8,Mobile Phone,5,2,0,1,0
50103,0,2,Pad,3,6,Divorced,3,Female,2,4,14,1,Fashion,2,2,0,4,179
50104,0,8,Pad,3,6,Single,3,Female,3,1,14,8,Fashion,2,3,0,1,188
50105,1,3,Phone,1,,Single,4,Male,2,1,13,1,Household,2,2,1,0,124
50106,0,25,Phone,1,8,Single,4,Female,2,2,15,2,Household,8,2,0,0,132
50107,0,15,Mobile Phone,1,10,Divorced,3,Male,2,11,,15,Others,2,2,0,0,292
50108,0,,Phone,2,12,Divorced,3,Male,2,2,17,2,Household,9,3,0,2,123
50109,0,23,Mobile Phone,3,6,Married,3,Female,3,1,,6,Others,4,2,0,1,295
50110,1,3,Phone,1,,Divorced,3,Male,2,1,13,4,Household,6,2,1,0,124
50111,0,16,Mobile Phone,3,22,Divorced,3,Female,3,,22,9,Grocery,6,2,1,0,261
50112,1,3,Phone,1,8,Divorced,3,Female,,1,20,7,Household,8,5,0,1,127
50113,0,25,Pad,3,8,Single,4,Male,3,15,18,12,Others,2,3,1,,291
50114,0,5,Phone,3,10,Divorced,3,Female,2,1,11,2,Mobile Phone,3,4,0,1,139
50115,1,3,Phone,1,6,Single,4,Male,3,1,14,2,Mobile Phone,1,3,1,1,137
50116,0,,Phone,1,6,Married,3,Female,3,1,14,2,Household,8,3,0,0,122
50117,0,5,Pad,3,32,Divorced,3,Male,3,2,18,2,Laptop & Accessory,1,2,0,1,145
50118,0,14,Phone,1,25,Married,3,Male,,1,16,0,Laptop & Accessory,3,5,0,1,131
50119,0,13,Phone,1,30,Married,3,Male,3,4,17,7,Laptop & Accessory,2,2,0,2,133
50120,0,18,Mobile Phone,1,6,Divorced,2,Male,3,1,,7,Others,1,2,0,1,292
50121,0,4,Pad,1,9,Married,3,Male,3,,12,2,Fashion,10,3,0,1,237
50122,0,6,Phone,1,11,Divorced,4,Female,,1,13,2,Household,2,2,0,0,129
50123,0,7,Mobile Phone,1,8,Divorced,4,Male,2,5,13,9,Laptop & Accessory,7,5,0,0,160
50124,0,13,Phone,1,6,Divorced,4,Female,2,1,14,2,Mobile Phone,3,5,0,1,139
50125,0,18,Pad,1,13,Divorced,2,Male,3,1,17,2,Laptop & Accessory,5,3,0,0,164
50126,1,3,Pad,1,16,Married,3,Male,3,1,11,0,Fashion,7,3,0,1,200
50127,0,12,Pad,1,8,Single,3,Female,3,11,25,,Fashion,1,3,0,10,209
50128,0,2,Phone,1,,Single,3,Male,2,1,19,5,Household,2,2,0,0,123
50129,0,15,Mobile Phone,1,23,Single,2,Female,2,1,13,2,Laptop & Accessory,4,5,1,0,165
50130,0,2,Mobile Phone,3,26,Married,3,Male,2,1,14,2,Laptop & Accessory,3,2,0,1,169
50131,0,3,Phone,1,6,Divorced,3,Female,3,1,12,2,Laptop & Accessory,1,3,0,1,149
50132,0,15,Phone,1,,Married,4,Female,2,7,11,8,Household,1,5,1,4,126
50133,0,13,Mobile Phone,1,8,Married,3,Male,2,3,,9,Others,1,3,0,0,294
50134,0,24,Phone,1,6,Divorced,3,Male,,1,11,0,Household,2,2,0,1,127
50135,1,3,Pad,1,35,Single,4,Male,3,1,11,4,Household,1,4,0,1,135
50136,0,5,Pad,1,13,Divorced,2,Male,,1,20,3,Household,2,4,0,0,128
50137,0,11,Pad,3,8,Divorced,4,Male,2,7,18,5,Laptop & Accessory,4,2,0,6,152
50138,0,,Phone,1,8,Single,4,Male,2,1,13,4,Laptop & Accessory,5,5,0,0,122
50139,0,19,Mobile Phone,3,8,Divorced,5,Female,3,7,12,7,Grocery,4,4,1,,269
50140,1,3,Phone,1,8,Single,3,Male,3,1,11,0,Household,3,3,0,1,135
50141,0,2,Mobile Phone,3,8,Divorced,4,Male,3,1,19,0,Laptop & Accessory,3,4,0,0,166
50142,0,4,Mobile Phone,1,29,Divorced,4,Male,3,7,21,8,Laptop & Accessory,1,2,0,1,156
50143,0,3,Pad,1,11,Married,2,Male,2,1,12,5,Laptop & Accessory,2,5,0,1,140
50144,0,18,Mobile Phone,1,26,Divorced,3,Male,3,,14,10,Grocery,1,2,1,0,235
50145,0,9,Phone,1,12,Divorced,3,Male,2,10,11,11,Household,1,2,0,4,132
50146,0,28,Mobile Phone,1,6,Single,3,Male,2,4,14,13,Others,1,5,1,,290
50147,1,13,Pad,1,35,Divorced,3,Male,2,9,12,,Fashion,2,4,1,5,218
50148,0,,Phone,1,15,Divorced,3,Male,3,1,23,4,Household,2,2,0,1,121
50149,0,13,Mobile Phone,3,12,Divorced,3,Male,3,1,14,1,Laptop & Accessory,5,2,0,0,165
50150,0,3,Phone,1,9,Single,4,Male,3,1,17,0,Household,2,3,0,1,132
50151,0,13,Pad,1,6,Married,3,Female,0,,18,2,Fashion,3,2,1,0,236
50152,0,2,Mobile Phone,1,28,Married,2,Female,3,6,18,,Fashion,8,4,0,5,220
50153,0,11,Mobile Phone,3,13,Married,2,Female,2,7,24,7,Laptop & Accessory,2,5,1,0,156
50154,0,3,Pad,1,6,Married,3,Female,2,1,20,4,Laptop & Accessory,2,4,0,0,164
50155,0,23,Mobile Phone,1,10,Married,3,Male,3,1,14,6,Others,4,4,0,,291
50156,0,26,Mobile Phone,1,9,Divorced,3,Male,2,1,16,3,Grocery,4,3,1,,276
50157,0,15,Phone,3,6,Divorced,3,Male,2,11,25,6,Laptop & Accessory,2,3,0,4,149
50158,0,2,Pad,3,8,Single,3,Male,2,1,18,9,Laptop & Accessory,2,2,0,0,146
50159,0,28,Mobile Phone,1,26,Divorced,3,Male,2,1,19,8,Laptop & Accessory,4,2,1,1,154
50160,0,3,Pad,1,17,Divorced,3,Male,2,3,13,3,Laptop & Accessory,2,5,1,2,147
50161,0,,Phone,1,6,Single,3,Female,2,5,12,7,Household,2,2,0,1,121
50162,1,7,Pad,1,30,Married,3,Male,,1,22,0,Household,4,3,1,0,132
50163,0,11,Mobile Phone,1,29,Married,3,Male,2,1,14,2,Laptop & Accessory,10,2,0,0,157
50164,1,3,Phone,1,,Married,3,Male,2,1,13,2,Household,3,4,1,1,124
50165,0,1,Phone,1,14,Single,3,Female,3,1,21,2,Household,2,2,0,0,133
50166,0,22,Pad,1,16,Single,3,Female,2,1,11,2,Others,10,5,1,,287
50167,0,9,Phone,1,9,Single,3,Male,1,7,12,7,Laptop & Accessory,5,4,0,6,145
50168,0,4,Pad,3,11,Married,3,Female,,2,11,2,Household,2,4,0,0,128
50169,1,3,Mobile Phone,3,10,Single,4,Male,2,7,12,4,Laptop & Accessory,2,2,1,7,158
50170,0,13,Pad,1,,Divorced,3,Male,2,1,12,2,Household,2,2,1,0,123
50171,0,15,Pad,3,32,Divorced,3,Female,3,,14,8,Grocery,6,4,0,2,235
50172,1,,Mobile Phone,1,9,Single,3,Male,2,1,13,0,Mobile Phone,2,3,0,0,114
50173,0,8,Mobile Phone,3,22,Divorced,3,Male,3,6,15,9,Fashion,1,4,0,3,180
50174,0,9,Pad,1,24,Divorced,2,Male,2,1,18,0,Mobile Phone,5,2,0,0,137
50175,0,24,Mobile Phone,1,8,Married,5,Male,2,1,18,2,Laptop & Accessory,6,4,0,0,155
50176,0,14,Mobile Phone,3,8,Single,3,Male,2,,19,4,Grocery,2,4,0,1,260
50177,0,3,Mobile Phone,3,16,Single,4,Female,3,1,12,0,Mobile Phone,2,3,0,1,112
50178,0,1,Mobile Phone,1,22,Single,2,Male,3,1,19,7,Laptop & Accessory,1,5,0,0,157
50179,0,4,Mobile Phone,3,13,Divorced,2,Male,3,7,11,7,Laptop & Accessory,5,2,0,3,169
50180,0,12,Mobile Phone,1,6,Married,2,Male,2,3,17,7,Fashion,1,2,0,3,196
50181,0,9,Pad,1,30,Divorced,3,Female,2,1,15,8,Laptop & Accessory,8,4,0,0,157
50182,0,5,Mobile Phone,3,13,Divorced,4,Male,3,4,14,8,Laptop & Accessory,2,3,0,1,155
50183,0,11,Mobile Phone,1,31,Divorced,4,Female,2,1,17,,Fashion,4,4,0,1,221
50184,0,33,Pad,1,6,Married,5,Male,2,1,13,2,Laptop & Accessory,3,3,1,1,157
50185,0,4,Phone,1,11,Divorced,3,Male,2,1,12,3,Mobile Phone,1,2,1,0,148
50186,0,4,Mobile Phone,2,8,Divorced,4,Male,3,1,12,0,Laptop & Accessory,4,5,0,0,164
50187,0,18,Pad,1,13,Married,3,Male,3,9,18,11,Fashion,2,5,0,5,152
50188,0,4,Phone,1,8,Married,3,Male,,2,18,2,Household,1,2,1,1,127
50189,0,6,Pad,1,11,Divorced,3,Female,3,8,11,,Fashion,7,4,0,2,219
50190,0,12,Mobile Phone,1,16,Divorced,3,Male,2,11,14,10,Grocery,2,5,1,,271
50191,0,16,Pad,1,,Single,3,Female,2,1,19,7,Household,1,2,0,0,125
50192,0,22,Mobile Phone,1,6,Single,4,Female,2,,12,7,Grocery,8,3,1,1,240
50193,1,15,Phone,1,14,Divorced,4,Male,2,7,15,7,Laptop & Accessory,3,4,0,7,149
50194,0,3,Phone,1,,Single,3,Female,2,1,12,2,Household,2,4,1,0,125
50195,0,5,Mobile Phone,3,14,Divorced,4,Female,3,11,11,9,Laptop & Accessory,2,4,1,6,152
50196,0,3,Phone,3,8,Single,3,Male,3,1,11,4,Laptop & Accessory,2,3,1,1,145
50197,0,4,Mobile Phone,3,13,Married,3,Male,3,1,12,7,Laptop & Accessory,5,2,0,0,175
50198,0,5,Mobile Phone,1,8,Single,2,Female,3,1,16,7,Laptop & Accessory,8,2,0,1,151
50199,1,3,Phone,1,8,Divorced,5,Male,2,2,13,2,Household,6,2,1,2,135
50200,0,3,Mobile Phone,1,34,Divorced,3,Female,3,1,13,9,Laptop & Accessory,2,2,0,0,158
50201,0,4,Pad,1,13,Divorced,4,Female,2,8,24,9,Fashion,2,3,0,3,189
50202,0,12,Pad,1,5,Divorced,4,Male,2,13,,3,Others,2,2,0,9,293
50203,1,2,Mobile Phone,3,9,Divorced,3,Female,2,1,18,0,Laptop & Accessory,5,3,1,1,152
50204,0,6,Pad,3,16,Single,4,Male,2,1,14,1,Laptop & Accessory,4,2,0,1,147
50205,0,23,Mobile Phone,1,11,Divorced,3,Male,2,1,11,1,Others,5,3,0,,283
50206,0,16,Pad,1,16,Married,4,Female,2,1,11,0,Laptop & Accessory,2,3,0,0,153
50207,0,3,Pad,3,6,Divorced,3,Male,3,1,13,4,Laptop & Accessory,1,4,1,0,163
50208,0,27,Pad,1,26,Single,3,Female,2,1,12,3,Laptop & Accessory,4,3,0,1,149
50209,0,16,Mobile Phone,1,13,Divorced,3,Female,2,1,16,0,Fashion,9,5,0,1,200
50210,0,18,Phone,1,14,Divorced,3,Male,3,9,14,8,Laptop & Accessory,10,2,0,7,137
50211,0,13,Mobile Phone,3,6,Divorced,5,Male,2,1,22,2,Laptop & Accessory,3,2,1,1,175
50212,1,,Phone,1,14,Divorced,5,Male,3,1,11,7,Household,2,5,1,1,121
50213,0,2,Phone,1,15,Single,4,Male,1,2,17,2,Mobile Phone,1,2,0,2,140
50214,0,3,Mobile Phone,3,11,Married,4,Female,1,1,13,2,Laptop & Accessory,2,3,0,0,161
50215,0,3,Mobile Phone,3,14,Divorced,3,Female,2,1,18,7,Laptop & Accessory,2,4,0,0,162
50216,0,13,Mobile Phone,1,11,Married,3,Male,3,1,16,4,Laptop & Accessory,8,2,0,0,163
50217,0,11,Mobile Phone,1,21,Married,4,Male,3,2,14,,Fashion,1,2,1,1,215
50218,0,4,Mobile Phone,1,13,Single,3,Female,2,4,14,10,Fashion,2,2,1,2,171
50219,0,2,Mobile Phone,3,16,Married,4,Female,2,1,14,7,Laptop & Accessory,2,4,1,0,183
50220,0,8,Mobile Phone,1,11,Single,3,Male,3,1,13,13,Fashion,1,4,0,0,181
50221,0,3,Phone,1,32,Married,3,Male,,1,12,2,Household,2,2,0,1,129
50222,0,14,Mobile Phone,1,12,Single,4,Male,3,1,15,2,Laptop & Accessory,7,4,1,1,160
50223,0,23,Pad,3,10,Single,3,Male,,1,19,0,Laptop & Accessory,4,3,0,0,130
50224,0,15,Mobile Phone,1,29,Single,3,Female,2,,14,0,Grocery,3,2,0,0,260
50225,0,2,Pad,3,8,Divorced,3,Male,3,1,14,2,Laptop & Accessory,2,3,0,1,146
50226,0,15,Phone,2,8,Married,3,Male,,1,11,0,Household,1,3,1,1,127
50227,0,5,Phone,1,,Divorced,3,Female,3,1,13,7,Household,2,4,0,0,124
50228,0,21,Mobile Phone,3,35,Divorced,3,Female,3,1,21,,Fashion,4,3,0,0,225
50229,0,13,Mobile Phone,1,12,Married,2,Male,2,6,13,7,Laptop & Accessory,5,5,1,2,160
50230,0,3,Pad,3,31,Divorced,3,Female,2,2,12,2,Laptop & Accessory,8,3,1,1,147
50231,0,3,Mobile Phone,3,6,Divorced,3,Male,2,7,17,7,Laptop & Accessory,2,3,0,2,153
50232,0,15,Mobile Phone,1,8,Single,4,Male,3,1,23,0,Laptop & Accessory,4,2,0,0,168
50233,1,,Pad,3,6,Single,4,Female,2,1,11,2,Household,2,4,1,1,122
50234,0,9,Pad,3,6,Single,3,Female,2,1,15,0,Laptop & Accessory,5,2,0,1,167
50235,0,9,Pad,3,9,Divorced,4,Male,2,1,11,12,Fashion,5,2,0,0,197
50236,0,33,Mobile Phone,1,6,Divorced,3,Male,2,1,11,2,Laptop & Accessory,3,3,0,1,168
50237,0,,Phone,1,16,Divorced,2,Female,2,1,13,7,Household,4,3,1,0,122
50238,0,3,Pad,3,,Single,3,Male,2,2,24,2,Household,2,2,0,0,126
50239,1,3,Phone,3,11,Single,3,Female,,1,13,0,Household,2,3,1,1,129
50240,0,13,Phone,1,16,Divorced,3,Female,3,1,20,3,Household,7,5,0,1,135
50241,0,19,Pad,1,13,Divorced,3,Female,1,1,14,0,Laptop & Accessory,3,3,0,0,153
50242,1,4,Pad,3,10,Single,3,Male,2,7,18,7,Laptop & Accessory,2,4,0,7,194
50243,0,23,Mobile Phone,1,16,Single,4,Male,3,1,15,3,Fashion,7,2,0,0,205
50244,1,3,Mobile Phone,3,28,Divorced,4,Male,3,1,12,0,Laptop & Accessory,3,3,1,1,164
50245,0,4,Phone,1,,Single,4,Male,2,2,16,2,Household,1,4,1,1,127
50246,1,3,Phone,3,18,Single,2,Female,,1,15,0,Household,2,4,0,0,127
50247,0,,Phone,1,29,Single,3,Male,2,1,16,2,Household,10,2,0,1,122
50248,0,8,Mobile Phone,1,15,Single,4,Male,3,1,19,0,Laptop & Accessory,10,4,0,1,165
50249,0,3,Phone,1,6,Married,3,Male,2,1,11,4,Mobile Phone,2,4,0,0,138
50250,0,1,Mobile Phone,3,15,Single,3,Male,3,1,16,7,Laptop & Accessory,2,2,0,1,153
50251,0,22,Phone,1,13,Single,4,Male,2,1,24,0,Fashion,9,3,0,1,145
50252,0,24,Phone,3,20,Divorced,3,Female,2,1,11,7,Laptop & Accessory,5,2,0,0,149
50253,0,9,Phone,1,,Divorced,3,Female,3,2,13,2,Household,5,3,0,1,125
50254,1,3,Pad,3,25,Single,2,Male,3,1,13,4,Laptop & Accessory,9,2,1,1,153
50255,0,28,Mobile Phone,1,8,Single,3,Female,3,1,13,2,Grocery,3,2,1,,267
50256,0,3,Phone,3,16,Married,3,Female,3,1,12,3,Laptop & Accessory,2,3,1,0,143
50257,0,3,Phone,3,,Divorced,3,Male,3,1,18,0,Household,2,4,0,1,125
50258,1,3,Pad,1,9,Single,3,Male,,1,22,4,Household,1,5,0,0,131
50259,0,,Phone,1,17,Divorced,3,Female,2,1,13,2,Household,2,4,0,1,122
50260,0,9,Mobile Phone,3,8,Divorced,4,Male,3,9,13,0,Fashion,2,3,0,9,176
50261,1,,Pad,1,10,Single,3,Male,2,1,23,0,Household,19,2,1,1,123
50262,0,13,Phone,1,20,Married,3,Female,,12,12,17,Household,2,5,0,3,130
50263,0,13,Mobile Phone,3,8,Married,3,Female,2,1,12,3,Laptop & Accessory,8,4,0,0,157
50264,0,15,Phone,1,,Married,3,Female,3,1,16,2,Household,4,5,0,1,126
50265,0,13,Phone,1,16,Single,3,Male,2,1,12,1,Laptop & Accessory,3,4,1,0,142
50266,0,16,Mobile Phone,1,18,Married,4,Male,2,,11,9,Grocery,2,4,0,0,243
50267,0,13,Phone,1,8,Divorced,4,Female,3,1,22,0,Laptop & Accessory,7,3,0,1,134
50268,0,27,Mobile Phone,1,11,Divorced,3,Male,2,1,,2,Others,5,5,0,1,294
50269,0,7,Pad,3,10,Divorced,3,Female,3,1,15,2,Laptop & Accessory,10,3,0,1,165
50270,0,4,Phone,1,13,Divorced,3,Female,2,3,12,12,Laptop & Accessory,2,5,0,3,143
50271,0,,Pad,1,27,Divorced,3,Male,3,1,20,2,Household,8,2,0,0,123
50272,0,16,Phone,1,14,Married,3,Female,3,1,14,2,Laptop & Accessory,5,3,1,0,145
50273,0,3,Phone,3,10,Single,4,Female,2,1,11,3,Laptop & Accessory,2,2,1,0,145
50274,0,13,Pad,1,31,Divorced,3,Female,3,10,15,7,Laptop & Accessory,4,3,1,3,144
50275,0,,Phone,1,6,Divorced,4,Male,3,3,12,2,Household,2,5,0,0,122
50276,0,12,Pad,1,6,Married,3,Male,2,1,14,6,Others,2,3,1,0,292
50277,0,29,Pad,3,12,Divorced,2,Female,2,,11,7,Grocery,10,5,0,2,232
